Price,Close,High,Low,Open,Volume
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL
Date,,,,,
1980-12-12,0.09838943928480148,0.09881719571566713,0.09838943928480148,0.09838943928480148,469033600
1980-12-15,0.09325643628835678,0.09368419287606412,0.09325643628835678,0.09368419287606412,175884800
1980-12-16,0.08641161769628525,0.08683936860447428,0.08641161769628525,0.08683936860447428,105728000
1980-12-17,0.0885503888130188,0.0889781454575931,0.0885503888130188,0.0885503888130188,86441600
1980-12-18,0.09111768007278442,0.09154543099401138,0.09111768007278442,0.09111768007278442,73449600
1980-12-19,0.0966784730553627,0.09710622969892004,0.0966784730553627,0.0966784730553627,48630400
1980-12-22,0.10138379037380219,0.10181231242979176,0.10138379037380219,0.10138379037380219,37363200
1980-12-23,0.105662040412426,0.10608979693298276,0.105662040412426,0.105662040412426,46950400
1980-12-24,0.11122285574674606,0.11165061232436137,0.11122285574674606,0.11122285574674606,48003200
1980-12-26,0.12148968130350113,0.12191743777862855,0.12148968130350112,0.12148968130350112,55574400
1980-12-29,0.1232006847858429,0.12362844122279473,0.1232006847858429,0.1232006847858429,93161600
1980-12-30,0.12020637840032578,0.12063412329269353,0.12020637840032578,0.12063412329269353,68880000
1980-12-31,0.1167844608426094,0.11721221756129964,0.1167844608426094,0.11721221756129964,35750400
1981-01-02,0.11806769669055939,0.11892320996211521,0.11806769669055937,0.11806769669055937,21660800
1981-01-05,0.11550112813711166,0.11592887315886331,0.11550112813711166,0.11592887315886331,35728000
1981-01-06,0.11036732792854309,0.11079508444932833,0.11036732792854309,0.11079508444932833,45158400
1981-01-07,0.105662040412426,0.10608979693298276,0.105662040412426,0.10608979693298276,55686400
1981-01-08,0.10352328419685364,0.10395102930905734,0.10352328419685364,0.10395102930905734,39827200
1981-01-09,0.1090840995311737,0.10951185616858766,0.1090840995311737,0.1090840995311737,21504000
1981-01-12,0.10822857171297073,0.10908407335955723,0.10822857171297073,0.10908407335955723,23699200
1981-01-13,0.10437876731157303,0.10480652377081308,0.10437876731157303,0.10480652377081308,23049600
1981-01-14,0.1048065796494484,0.10523433633675103,0.1048065796494484,0.1048065796494484,14291200
1981-01-15,0.10694527626037598,0.1078007776088139,0.10694527626037598,0.10694527626037598,14067200
1981-01-16,0.10608983784914017,0.10651759453467184,0.10608983784914017,0.10651759453467184,13395200
1981-01-19,0.11250609159469604,0.1129338480869095,0.11250609159469603,0.11250609159469603,41574400
1981-01-20,0.1090840995311737,0.10951185616858766,0.1090840995311737,0.10951185616858766,30083200
1981-01-21,0.11122285574674606,0.11207835747899011,0.11122285574674606,0.11122285574674606,15904000
1981-01-22,0.11250609159469604,0.11336160457912295,0.11250609159469603,0.11250609159469603,35548800
1981-01-23,0.11207838356494904,0.1129338969192982,0.11207838356494904,0.11250614024212362,11222400
1981-01-26,0.11036732792854309,0.11079508444932833,0.11036732792854309,0.11079508444932833,24640000
1981-01-27,0.1095118373632431,0.11036733906817632,0.1095118373632431,0.11036733906817632,23699200
1981-01-28,0.10608983784914017,0.10651759453467184,0.10608983784914017,0.10651759453467184,28156800
1981-01-29,0.10224002599716187,0.10266778258007143,0.10224002599716187,0.10266778258007143,43904000
1981-01-30,0.0966784730553627,0.09753398634247737,0.0966784730553627,0.09753398634247737,46188800
1981-02-02,0.09111768007278442,0.09154543099401138,0.09111768007278442,0.09154543099401138,23766400
1981-02-03,0.09453971683979034,0.09496746779065869,0.09453971683979034,0.09453971683979034,19152000
1981-02-04,0.09796174615621567,0.09838949139062714,0.09796174615621567,0.09796174615621567,27865600
1981-02-05,0.09796174615621567,0.09881724804802729,0.09796174615621567,0.09796174615621567,7929600
1981-02-06,0.09838943928480148,0.09881719571566713,0.09838943928480148,0.09838943928480148,13865600
1981-02-09,0.09325643628835678,0.09411194375227805,0.09325643628835678,0.09411194375227805,16755200
1981-02-10,0.09325643628835678,0.09368419287606412,0.09325643628835678,0.09325643628835678,18345600
1981-02-11,0.09026214480400085,0.09068989559388767,0.09026214480400085,0.09068989559388767,13843200
1981-02-12,0.08940590173006058,0.08983442374044567,0.08940590173006058,0.08983442374044567,14560000
1981-02-13,0.08726712316274643,0.08812263067040968,0.08726712316274643,0.08812263067040968,11155200
1981-02-17,0.08940590173006058,0.08983442374044567,0.08940590173006058,0.08940590173006058,12275200
1981-02-18,0.09325643628835678,0.09411194375227805,0.09325643628835678,0.09325643628835678,19241600
1981-02-19,0.08769488334655762,0.08812264000142986,0.08769488334655762,0.08812264000142986,22310400
1981-02-20,0.08298958092927933,0.0834173375146574,0.08298958092927933,0.0834173375146574,24371200
1981-02-23,0.08427286148071289,0.08470061817886772,0.08427286148071289,0.08427286148071289,14112000
1981-02-24,0.08127856999635696,0.08213407749757067,0.08127856999635696,0.08213407749757067,16979200
1981-02-25,0.08641161769628525,0.08683936860447428,0.08641161769628525,0.08641161769628525,19488000
1981-02-26,0.08769488334655762,0.08812264000142986,0.08769488334655762,0.08769488334655762,10841600
1981-02-27,0.09068991988897324,0.09154542740942258,0.09068991988897324,0.09068991988897324,14761600
1981-03-02,0.09111768007278442,0.09154543099401138,0.09111768007278442,0.09111768007278442,11760000
1981-03-03,0.08983439207077026,0.0902621485900918,0.08983439207077026,0.0902621485900918,16172800
1981-03-04,0.08897815644741058,0.08940590743332283,0.08897815644741058,0.08940590743332283,13708800
1981-03-05,0.0885503888130188,0.0889781454575931,0.0885503888130188,0.0889781454575931,5376000
1981-03-06,0.08769488334655762,0.08855039094480778,0.08769488334655762,0.08855039094480778,11603200
1981-03-09,0.08085080981254578,0.08127856065826149,0.08085080981254578,0.08127856065826149,15321600
1981-03-10,0.0770002231001854,0.07742797375033968,0.0770002231001854,0.07742797375033968,28380800
1981-03-11,0.07400597631931305,0.07486148368503423,0.07400597631931305,0.07486148368503423,29859200
1981-03-12,0.0770002231001854,0.07742797375033968,0.0770002231001854,0.0770002231001854,59248000
1981-03-13,0.07614478468894958,0.07657253572447448,0.07614478468894958,0.07657253572447448,231302400
1981-03-16,0.07913980633020401,0.07999531385553646,0.07913980633020401,0.07913980633020401,37228800
1981-03-17,0.08298958092927933,0.08384508838854207,0.08298958092927933,0.08298958092927933,43747200
1981-03-18,0.08812263607978821,0.08897814363996649,0.08812263607978821,0.08812263607978821,36937600
1981-03-19,0.08726712316274643,0.08769487406083121,0.08726712316274643,0.08769487406083121,37811200
1981-03-20,0.08812263607978821,0.08897814363996649,0.08812263607978821,0.08812263607978821,14604800
1981-03-23,0.09154544025659561,0.09240094789710394,0.09154544025659561,0.09154544025659561,22019200
1981-03-24,0.09111768007278442,0.09154543099401138,0.09111768007278442,0.09154543099401138,28156800
1981-03-25,0.08940590173006058,0.09026218041056591,0.08940590173006058,0.09026218041056591,7056000
1981-03-26,0.08769488334655762,0.08812264000142986,0.08769488334655762,0.08812264000142986,12275200
1981-03-27,0.0847005695104599,0.08512832025133699,0.0847005695104599,0.08512832025133699,12252800
1981-03-30,0.0847005695104599,0.08555607670370569,0.0847005695104599,0.0847005695104599,9900800
1981-03-31,0.08384508639574051,0.08470059383466985,0.08384508639574051,0.08470059383466985,15993600
1981-04-01,0.08298958092927933,0.0834173375146574,0.08298958092927933,0.0834173375146574,34070400
1981-04-02,0.09026214480400085,0.09068989559388767,0.09026214480400085,0.09026214480400085,31404800
1981-04-03,0.09068991988897324,0.0911176765049448,0.09068991988897324,0.09068991988897324,16486400
1981-04-06,0.08897815644741058,0.08940590743332283,0.08897815644741058,0.08940590743332283,22803200
1981-04-07,0.08812263607978821,0.08855038700413033,0.08812263607978821,0.08855038700413033,10684800
1981-04-08,0.0924009159207344,0.09325642326518488,0.0924009159207344,0.0924009159207344,21952000
1981-04-09,0.09411195665597916,0.09453971330233625,0.09411195665597916,0.09411195665597916,12499200
1981-04-10,0.09539523720741272,0.09582298821547158,0.09539523720741272,0.09539523720741272,33465600
1981-04-13,0.09539523720741272,0.09582298821547158,0.09539523720741272,0.09539523720741272,16060800
1981-04-14,0.09539523720741272,0.09582298821547158,0.09539523720741272,0.09539523720741272,6652800
1981-04-15,0.09068991988897324,0.0911176765049448,0.09068991988897324,0.0911176765049448,34048000
1981-04-16,0.08555611968040466,0.08598387063615036,0.08555611968040466,0.08598387063615036,23878400
1981-04-20,0.08812263607978821,0.08855038700413033,0.08812263607978821,0.08812263607978821,35347200
1981-04-21,0.09411195665597916,0.09453971330233625,0.09411195665597916,0.09411195665597916,28537600
1981-04-22,0.09753397107124329,0.09796172764782528,0.09753397107124329,0.09753397107124329,18995200
1981-04-23,0.10010053217411041,0.10052828894080748,0.10010053217411041,0.10010053217411041,58016000
1981-04-24,0.09924501925706863,0.10010052127431684,0.09924501925706863,0.10010052127431684,35056000
1981-04-27,0.09838943928480148,0.09881719571566713,0.09838943928480148,0.09881719571566713,38528000
1981-04-28,0.0966784730553627,0.09710622969892004,0.0966784730553627,0.09710622969892004,32188800
1981-04-29,0.09539523720741272,0.09582298821547158,0.09539523720741272,0.09582298821547158,13641600
1981-04-30,0.0971062183380127,0.0979617315250369,0.0971062183380127,0.0971062183380127,12611200
1981-05-01,0.0971062183380127,0.0979617315250369,0.0971062183380127,0.0971062183380127,16553600
1981-05-04,0.0966784730553627,0.09710622969892004,0.0966784730553627,0.09710622969892004,14448000
1981-05-05,0.0962507352232933,0.09667848047669735,0.0962507352232933,0.09667848047669735,17539200
1981-05-06,0.09368418157100677,0.09411193239560316,0.09368418157100677,0.09411193239560316,18950400
1981-05-07,0.09496744722127914,0.09539520379099238,0.09496744722127914,0.09496744722127914,9363200
